epoch,train_time,test_time
1,0.6033890247344971,0.00080108642578125
2,0.002741098403930664,0.0007593631744384766
3,0.0030066967010498047,0.0007669925689697266
4,0.002740621566772461,0.0009334087371826172
5,0.003251791000366211,0.0009357929229736328
6,0.0029654502868652344,0.0007712841033935547
7,0.003170013427734375,0.0008180141448974609
8,0.0030050277709960938,0.0007343292236328125
9,0.002955913543701172,0.0007367134094238281
10,0.0029120445251464844,0.0007374286651611328
11,0.0032052993774414062,0.0012094974517822266
12,0.004371166229248047,0.0007414817810058594
13,0.0037505626678466797,0.0007927417755126953
14,0.0033283233642578125,0.000732421875
15,0.003038644790649414,0.0007355213165283203
16,0.0029625892639160156,0.0007700920104980469
17,0.004731655120849609,0.0015668869018554688
18,0.004019260406494141,0.0007696151733398438
19,0.0035262107849121094,0.0009670257568359375
20,0.0031585693359375,0.0009310245513916016
21,0.003559112548828125,0.0009210109710693359
22,0.003397703170776367,0.0007665157318115234
23,0.003287076950073242,0.0007672309875488281
24,0.003056049346923828,0.000766754150390625
25,0.003244638442993164,0.0007698535919189453
26,0.0030770301818847656,0.0007677078247070312
27,0.0030524730682373047,0.0007672309875488281
28,0.0030243396759033203,0.0007674694061279297
29,0.002944469451904297,0.0007622241973876953
30,0.003014087677001953,0.0007791519165039062
31,0.0029022693634033203,0.000762939453125
32,0.0029675960540771484,0.0007905960083007812
33,0.002955198287963867,0.0007660388946533203
34,0.002882719039916992,0.0007688999176025391
35,0.0030183792114257812,0.0007672309875488281
36,0.003298044204711914,0.0007684230804443359
37,0.0031096935272216797,0.0007812976837158203
38,0.0030531883239746094,0.0007693767547607422
39,0.0032510757446289062,0.0007696151733398438
40,0.0032372474670410156,0.0007855892181396484
41,0.0032510757446289062,0.0007636547088623047
42,0.0028700828552246094,0.0007681846618652344
43,0.0028662681579589844,0.0007672309875488281
44,0.003336668014526367,0.0015499591827392578
45,0.0032787322998046875,0.0007984638214111328
46,0.0031423568725585938,0.0007889270782470703
47,0.0033686161041259766,0.0008070468902587891
48,0.0029108524322509766,0.0007507801055908203
49,0.0030281543731689453,0.0007395744323730469
50,0.0030295848846435547,0.0007545948028564453
51,0.002937793731689453,0.0007491111755371094
52,0.0029022693634033203,0.0007603168487548828
53,0.002989053726196289,0.0007772445678710938
54,0.0028543472290039062,0.0007505416870117188
55,0.002909421920776367,0.00075531005859375
56,0.0030472278594970703,0.0007472038269042969
57,0.0031883716583251953,0.0007479190826416016
58,0.0030472278594970703,0.0007491111755371094
59,0.003060579299926758,0.0008101463317871094
60,0.0030117034912109375,0.0007722377777099609
61,0.0029671192169189453,0.0007698535919189453
62,0.0030176639556884766,0.0007784366607666016
63,0.0028564929962158203,0.0007545948028564453
64,0.0032296180725097656,0.0007827281951904297
65,0.002929210662841797,0.000743865966796875
66,0.0029032230377197266,0.0007925033569335938
67,0.0030164718627929688,0.0007672309875488281
68,0.002857208251953125,0.0007524490356445312
69,0.002858400344848633,0.0007455348968505859
70,0.002995729446411133,0.0007793903350830078
71,0.0028603076934814453,0.000743865966796875
72,0.0029993057250976562,0.0007448196411132812
73,0.002895832061767578,0.0007524490356445312
74,0.0030736923217773438,0.0007624626159667969
75,0.0028197765350341797,0.0007557868957519531
76,0.002828359603881836,0.000751495361328125
77,0.002961874008178711,0.0007441043853759766
78,0.003004789352416992,0.0007457733154296875
79,0.003091573715209961,0.0007507801055908203
80,0.003074169158935547,0.0007505416870117188
81,0.0030803680419921875,0.0007407665252685547
82,0.0028383731842041016,0.0007460117340087891
83,0.0027539730072021484,0.0007503032684326172
84,0.0028464794158935547,0.00078582763671875
85,0.0029006004333496094,0.0007495880126953125
86,0.002908468246459961,0.0007622241973876953
87,0.0029501914978027344,0.0007488727569580078
88,0.0030274391174316406,0.0007555484771728516
89,0.0030853748321533203,0.0007658004760742188
90,0.0029058456420898438,0.0007374286651611328
91,0.0029571056365966797,0.0007624626159667969
92,0.002970457077026367,0.0007441043853759766
93,0.003227710723876953,0.0007803440093994141
94,0.0030896663665771484,0.0007638931274414062
95,0.0033571720123291016,0.0007617473602294922
96,0.0030837059020996094,0.0007715225219726562
97,0.003242969512939453,0.0007469654083251953
98,0.0029180049896240234,0.0007550716400146484
99,0.00281524658203125,0.0007376670837402344
100,0.0029058456420898438,0.0007441043853759766
101,0.0028061866760253906,0.0007445812225341797
102,0.00307464599609375,0.0008053779602050781
103,0.003177642822265625,0.0007569789886474609
104,0.0029954910278320312,0.0007512569427490234
105,0.002755403518676758,0.0007531642913818359
106,0.003240823745727539,0.0007555484771728516
